epoch,train_loss,train_accuracy,val_loss,val_accuracy,f1_score,precision,recall
1,0.07154490293995026,0.5632754342431762,0.052322378843137535,0.9108910891089109,0.9113148594581473,0.9141273599409631,0.9108910891089109
2,0.036425799279295776,0.9181141439205955,0.028829249119994665,0.9306930693069307,0.9308510856689479,0.936972268655437,0.9306930693069307
3,0.018148349732086618,0.9578163771712159,0.019704468326993508,0.9306930693069307,0.930876031649076,0.9412397761515282,0.9306930693069307
4,0.0106501690858499,0.9727047146401985,0.016546449522570807,0.9306930693069307,0.9302876001885904,0.9376237623762378,0.9306930693069307
